pitch_type,zone,hand,n,ball,called,whiff,foul,out,single,double,hr,ball_pct,called_pct,whiff_pct,foul_pct,out_pct,single_pct,double_pct,hr_pct
FF,1,RR,1093,0,252,199,378,193,43,14,14,0.0,23.1,18.2,34.6,17.7,3.9,1.3,1.3
FF,1,RL,1997,0,625,396,621,245,65,28,17,0.0,31.3,19.8,31.1,12.3,3.3,1.4,0.9
FF,1,LR,806,0,190,112,307,138,38,12,9,0.0,23.6,13.9,38.1,17.1,4.7,1.5,1.1
FF,1,LL,299,0,135,50,75,27,6,6,0,0.0,45.2,16.7,25.1,9.0,2.0,2.0,0.0
FF,2,RR,1683,0,261,320,665,313,77,23,24,0.0,15.5,19.0,39.5,18.6,4.6,1.4,1.4
FF,2,RL,2056,0,289,415,820,372,95,31,34,0.0,14.1,20.2,39.9,18.1,4.6,1.5,1.7
FF,2,LR,1174,0,162,236,482,205,57,18,14,0.0,13.8,20.1,41.1,17.5,4.9,1.5,1.2
FF,2,LL,387,0,67,79,139,70,19,9,4,0.0,17.3,20.4,35.9,18.1,4.9,2.3,1.0
FF,3,RR,1422,0,449,268,454,165,57,16,13,0.0,31.6,18.8,31.9,11.6,4.0,1.1,0.9
FF,3,RL,1220,0,241,166,497,238,44,16,18,0.0,19.8,13.6,40.7,19.5,3.6,1.3,1.5
FF,3,LR,874,0,268,167,296,98,22,14,9,0.0,30.7,19.1,33.9,11.2,2.5,1.6,1.0
FF,3,LL,258,0,47,53,92,43,12,5,6,0.0,18.2,20.5,35.7,16.7,4.7,1.9,2.3
FF,4,RR,881,0,186,84,276,214,73,26,22,0.0,21.1,9.5,31.3,24.3,8.3,3.0,2.5
FF,4,RL,1798,0,654,210,567,235,87,37,8,0.0,36.4,11.7,31.5,13.1,4.8,2.1,0.4
FF,4,LR,880,0,273,37,259,213,65,18,15,0.0,31.0,4.2,29.4,24.2,7.4,2.0,1.7
FF,4,LL,380,0,149,51,108,52,13,5,2,0.0,39.2,13.4,28.4,13.7,3.4,1.3,0.5
FF,5,RR,1587,0,350,180,564,297,109,43,44,0.0,22.1,11.3,35.5,18.7,6.9,2.7,2.8
FF,5,RL,2087,0,430,205,761,437,140,55,59,0.0,20.6,9.8,36.5,20.9,6.7,2.6,2.8
FF,5,LR,1064,0,204,88,383,267,72,25,25,0.0,19.2,8.3,36.0,25.1,6.8,2.3,2.3
FF,5,LL,406,0,98,57,124,82,27,9,9,0.0,24.1,14.0,30.5,20.2,6.7,2.2,2.2
FF,6,RR,1671,0,650,210,458,236,73,28,16,0.0,38.9,12.6,27.4,14.1,4.4,1.7,1.0
FF,6,RL,1440,0,401,103,455,325,79,37,40,0.0,27.8,7.2,31.6,22.6,5.5,2.6,2.8
FF,6,LR,783,0,251,108,256,104,38,19,7,0.0,32.1,13.8,32.7,13.3,4.9,2.4,0.9
FF,6,LL,220,0,49,28,83,44,11,4,1,0.0,22.3,12.7,37.7,20.0,5.0,1.8,0.5
FF,7,RR,348,0,178,12,57,70,22,8,1,0.0,51.1,3.4,16.4,20.1,6.3,2.3,0.3
FF,7,RL,709,0,455,28,104,77,30,10,5,0.0,64.2,3.9,14.7,10.9,4.2,1.4,0.7
FF,7,LR,438,0,254,15,84,61,13,6,5,0.0,58.0,3.4,19.2,13.9,3.0,1.4,1.1
FF,7,LL,219,0,145,11,32,18,10,3,0,0.0,66.2,5.0,14.6,8.2,4.6,1.4,0.0
FF,8,RR,777,0,375,45,164,124,45,14,10,0.0,48.3,5.8,21.1,16.0,5.8,1.8,1.3
FF,8,RL,1070,0,522,55,218,179,59,22,15,0.0,48.8,5.1,20.4,16.7,5.5,2.1,1.4
FF,8,LR,470,0,212,30,104,81,32,6,5,0.0,45.1,6.4,22.1,17.2,6.8,1.3,1.1
FF,8,LL,194,0,102,13,35,31,7,5,1,0.0,52.6,6.7,18.0,16.0,3.6,2.6,0.5
FF,9,RR,950,0,645,47,132,80,37,7,2,0.0,67.9,4.9,13.9,8.4,3.9,0.7,0.2
FF,9,RL,839,0,477,29,153,118,38,12,12,0.0,56.9,3.5,18.2,14.1,4.5,1.4,1.4
FF,9,LR,330,0,204,13,57,38,15,2,1,0.0,61.8,3.9,17.3,11.5,4.5,0.6,0.3
FF,9,LL,100,0,45,6,30,13,2,2,2,0.0,45.0,6.0,30.0,13.0,2.0,2.0,2.0
FF,11,RR,2743,1808,0,320,408,153,29,13,12,65.9,0.0,11.7,14.9,5.6,1.1,0.5,0.4
FF,11,RL,5677,4427,0,496,515,170,36,23,10,78.0,0.0,8.7,9.1,3.0,0.6,0.4,0.2
FF,11,LR,1669,1078,0,211,229,117,23,7,4,64.6,0.0,12.6,13.7,7.0,1.4,0.4,0.2
FF,11,LL,665,531,0,56,48,19,8,3,0,79.8,0.0,8.4,7.2,2.9,1.2,0.5,0.0
FF,12,RR,2967,2082,0,320,378,132,38,10,7,70.2,0.0,10.8,12.7,4.4,1.3,0.3,0.2
FF,12,RL,2502,1563,0,276,441,162,42,15,3,62.5,0.0,11.0,17.6,6.5,1.7,0.6,0.1
FF,12,LR,2643,1909,0,303,312,81,25,11,2,72.2,0.0,11.5,11.8,3.1,0.9,0.4,0.1
FF,12,LL,581,368,0,95,89,19,5,1,4,63.3,0.0,16.4,15.3,3.3,0.9,0.2,0.7
FF,13,RR,450,351,0,9,44,37,6,2,1,78.0,0.0,2.0,9.8,8.2,1.3,0.4,0.2
FF,13,RL,1150,1011,0,23,50,49,9,7,1,87.9,0.0,2.0,4.3,4.3,0.8,0.6,0.1
FF,13,LR,930,804,0,24,61,30,6,4,1,86.5,0.0,2.6,6.6,3.2,0.6,0.4,0.1
FF,13,LL,506,458,0,11,24,7,5,1,0,90.5,0.0,2.2,4.7,1.4,1.0,0.2,0.0
FF,14,RR,2252,2026,0,71,87,50,14,3,1,90.0,0.0,3.2,3.9,2.2,0.6,0.1,0.0
FF,14,RL,1616,1350,0,63,113,66,14,7,3,83.5,0.0,3.9,7.0,4.1,0.9,0.4,0.2
FF,14,LR,530,435,0,24,46,14,10,1,0,82.1,0.0,4.5,8.7,2.6,1.9,0.2,0.0
FF,14,LL,102,67,0,5,16,8,4,2,0,65.7,0.0,4.9,15.7,7.8,3.9,2.0,0.0
SI,1,RR,711,0,186,59,216,181,52,6,11,0.0,26.2,8.3,30.4,25.5,7.3,0.8,1.5
SI,1,RL,380,0,139,44,113,55,19,6,4,0.0,36.6,11.6,29.7,14.5,5.0,1.6,1.1
SI,1,LR,169,0,94,12,42,14,5,1,1,0.0,55.6,7.1,24.9,8.3,3.0,0.6,0.6
SI,1,LL,102,0,71,8,16,6,1,0,0,0.0,69.6,7.8,15.7,5.9,1.0,0.0,0.0
SI,2,RR,640,0,234,60,174,119,38,8,7,0.0,36.6,9.4,27.2,18.6,5.9,1.3,1.1
SI,2,RL,383,0,139,31,123,61,21,4,4,0.0,36.3,8.1,32.1,15.9,5.5,1.0,1.0
SI,2,LR,257,0,63,32,94,43,14,7,4,0.0,24.5,12.5,36.6,16.7,5.4,2.7,1.6
SI,2,LL,219,0,80,25,65,34,10,2,3,0.0,36.5,11.4,29.7,15.5,4.6,0.9,1.4
SI,3,RR,367,0,245,34,41,30,13,3,1,0.0,66.8,9.3,11.2,8.2,3.5,0.8,0.3
SI,3,RL,281,0,177,14,43,27,12,6,2,0.0,63.0,5.0,15.3,9.6,4.3,2.1,0.7
SI,3,LR,252,0,94,27,83,28,17,3,0,0.0,37.3,10.7,32.9,11.1,6.7,1.2,0.0
